CTA BANCARIA;SALDO TRANSPORTE;DATA;No.LANCTO;No.DOCTO;TIPO MOVTO;DEBITO;CREDITO;FAVORECIDO;HISTORICO;SALDO;CTA ORCTO;VALOR;UNIDADE
32035-8                       ;   12.611,29;18/03/2013;000045;10;debito bancario          ;    1.554,00;            ;CIRURGICA SÃO JOSÉ LTDA.                               ;REF. a NF 29066                                                                                                         ;   30.148,43;000047 Estoque Hemo                                      ;    1.554,00;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000046;10;debito bancario          ;    1.910,00;            ;BLAUSIEGEL INDUSTRIA E COMERCIO LTDA                   ;REF. a NF 41219                                                                                                         ;   28.238,43;000051 Estoque Hemo - MEDICAMENTOS                       ;    1.910,00;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000047;10;debito bancario          ;      278,30;            ;MICROLIN-MICROBIOLOGIA                                 ;REF. a NF 4349                                                                                                          ;   27.960,13;000034 Serviço de Laboratório                            ;      213,37;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;        9,60;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;       55,33;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000048;10;debito bancario          ;      229,00;            ;ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS           ;REF. a NF 48152                                                                                                         ;   27.731,13;000032 Serviço de Esterelização                          ;      229,00;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000049;10;debito bancario          ;       11,29;            ;VIVO S.A                                               ;REF. a NF 36247900                                                                                                      ;   27.719,84;000134 Telefonia                                         ;        0,07;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,18;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,44;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,03;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,12;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        4,58;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        2,48;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        3,39;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000050;10;debito bancario          ;      519,86;            ;VIVO S.A                                               ;REF. a NF 36247881                                                                                                      ;   27.199,98;000134 Telefonia                                         ;        3,12;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        8,47;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;       20,48;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        1,04;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        5,46;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      210,96;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      114,37;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      155,96;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000051;10;debito bancario          ;   14.349,70;            ;BAXTER HOSPITALAR LTDA                                 ;REF. a NF 83613                                                                                                         ;   12.850,28;000047 Estoque Hemo                                      ;   14.349,70;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000052;10;debito bancario          ;      707,50;            ;T.F. FERRERA MEDIC ESPECIALIZADO                       ;REF. a NF 92                                                                                                            ;   12.142,78;000047 Estoque Hemo                                      ;      707,50;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000053;10;debito bancario          ;      366,56;            ;ALLIANZ SEGUROS S/A                                    ;REF. a NF 1103                                                                                                          ;   11.776,22;000114 Seguros Automovel                                 ;      366,56;002;São José
32035-8                       ;   12.611,29;18/03/2013;000054;10;debito bancario          ;      245,90;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 27171                                                                                                         ;   11.530,32;000047 Estoque Hemo                                      ;      245,90;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000055;10;debito bancario          ;    3.183,84;            ;BLAUSIEGEL INDUSTRIA E COMERCIO LTDA                   ;REF. a NF 40839                                                                                                         ;    8.346,48;000051 Estoque Hemo - MEDICAMENTOS                       ;    3.183,84;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000056;10;debito bancario          ;      808,42;            ;VIVO S.A                                               ;REF. a NF 36259300                                                                                                      ;    7.538,06;000134 Telefonia                                         ;        4,85;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;       13,18;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;       31,85;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        1,61;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        8,49;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      328,06;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      177,85;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      242,53;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000057;10;debito bancario          ;      330,00;            ;MADIS RODBEL SOLU DE PONTO E ACESSO LTDA               ;REF. a NF 66246                                                                                                         ;    7.208,06;000021 Manutenção Equip. (Corretiva)                     ;      330,00;002;São José
32035-8                       ;   12.611,29;18/03/2013;000058;10;debito bancario          ;      389,00;            ;CIRURGICA MAFRA LTDA.                                  ;REF. a NF 312078                                                                                                        ;    6.819,06;000051 Estoque Hemo - MEDICAMENTOS                       ;      389,00;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000059;10;debito bancario          ;       43,38;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 282408                                                                                                        ;    6.775,68;000024 Material de uso e consumo                         ;       43,38;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000060;10;debito bancario          ;      147,30;            ;CENTERLAB CENTROAL DE LABORATÓRIOS LTDA                ;REF. a NF 41219                                                                                                         ;    6.628,38;000048 Estoque Laboratório                               ;      147,30;001;Taubaté
32035-8                       ;   12.611,29;18/03/2013;000061;17;TED CREDITO              ;            ;   13.000,00;TED ENTRE CONTAS BB 65188 P/ 320358                    ;                                                                                                                        ;   19.628,38;;;;
32035-8                       ;   12.611,29;18/03/2013;000062;10;debito bancario          ;      120,00;            ;ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS           ;REF. a NF 47993                                                                                                         ;   19.508,38;000032 Serviço de Esterelização                          ;      120,00;001;Taubaté
32035-8                       ;   12.611,29;19/03/2013;000063;10;debito bancario          ;    2.586,22;            ;VALE TRANSPORTE                                        ;REF. a VALE TRANSPORTE TTE                                                                                              ;   16.922,16;000130 Vale Transporte                                   ;      625,87;001;Taubaté
;;;;;;;;;;;000130 Vale Transporte                                   ;      143,28;001;Taubaté
;;;;;;;;;;;000130 Vale Transporte                                   ;    1.158,89;001;Taubaté
;;;;;;;;;;;000130 Vale Transporte                                   ;      518,52;001;Taubaté
;;;;;;;;;;;000130 Vale Transporte                                   ;      139,66;001;Taubaté
32035-8                       ;   12.611,29;19/03/2013;000064;10;debito bancario          ;      209,09;            ;VALE TRANSPORTE                                        ;REF. a VALE TRANSPORTE SJC                                                                                              ;   16.713,07;000130 Vale Transporte                                   ;            ;002;São José
;;;;;;;;;;;000130 Vale Transporte                                   ;            ;002;São José
;;;;;;;;;;;000130 Vale Transporte                                   ;      209,09;002;São José
32035-8                       ;   12.611,29;19/03/2013;000065;10;debito bancario          ;    1.629,80;            ;VALE TRANSPORTE                                        ;REF. a VALE TRANPORTE SJC                                                                                               ;   15.083,27;000130 Vale Transporte                                   ;            ;002;São José
;;;;;;;;;;;000130 Vale Transporte                                   ;    1.629,80;002;São José
;;;;;;;;;;;000130 Vale Transporte                                   ;            ;002;São José
32035-8                       ;   12.611,29;19/03/2013;000066;10;debito bancario          ;      215,00;            ;MOREIRA JUNIOR E SILVA LTDA ME                         ;REF. a NF 2692                                                                                                          ;   14.868,27;000021 Manutenção Equip. (Corretiva)                     ;      215,00;001;Taubaté
32035-8                       ;   12.611,29;19/03/2013;000067;10;debito bancario          ;      175,84;            ;VIVO S.A                                               ;REF. a NF 39018317                                                                                                      ;   14.692,43;000134 Telefonia                                         ;        1,23;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;        0,05;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;        0,48;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;       52,75;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;       15,83;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;      105,50;002;São José
32035-8                       ;   12.611,29;19/03/2013;000068;10;debito bancario          ;      743,35;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 2202                                                                                                          ;   13.949,08;000131 IPTU                                              ;       37,17;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        4,44;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        8,18;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        8,18;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       72,85;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       41,78;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        2,23;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       11,00;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;      307,75;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;      150,16;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       99,61;001;Taubaté
32035-8                       ;   12.611,29;19/03/2013;000069;11;CREDITO (CLIENTE)        ;            ;    8.356,24;FUNDAÇÃO UNIVERSITARIA DE SAÚDE TAUBATÉ                ;REF. a NF 633/NFE                                                                                                       ;   22.305,32;;;;
32035-8                       ;   12.611,29;20/03/2013;000070;17;TED CREDITO              ;            ;  497.000,00;TED ENTRE CONTAS                                       ;                                                                                                                        ;  519.305,32;;;;
32035-8                       ;   12.611,29;20/03/2013;000071;10;debito bancario          ;    5.273,10;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 1503                                                                                                          ;  514.032,22;000081 Taxa de renovação de licenças e impostos          ;    5.273,10;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000072;10;debito bancario          ;      260,40;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 1503                                                                                                          ;  513.771,82;000081 Taxa de renovação de licenças e impostos          ;      260,40;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000073;10;debito bancario          ;    1.986,06;            ;DOBBER COM. E REPRESENTAÇÕES LTDA                      ;REF. a NF 20481                                                                                                         ;  511.785,76;000048 Estoque Laboratório                               ;    1.986,06;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000074;10;debito bancario          ;      477,16;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 283337                                                                                                        ;  511.308,60;000024 Material de uso e consumo                         ;      477,16;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000075;10;debito bancario          ;      392,75;            ;LIFESYS INFORMÁTICA                                    ;REF. a NF 10239                                                                                                         ;  510.915,85;000137 Terceiros de Informatica                          ;      392,75;002;São José
32035-8                       ;   12.611,29;20/03/2013;000076;10;debito bancario          ;      187,36;            ;NEFRODATA SISTEMAS LTDA                                ;REF. a NF 7337                                                                                                          ;  510.728,49;000137 Terceiros de Informatica                          ;      187,36;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000077;10;debito bancario          ;      572,44;            ;UNIODONTO DE TAUBATÉ                                   ;REF. a NF 4992                                                                                                          ;  510.156,05;000088 Convênio Odontologico                             ;       27,36;001;Taubaté
;;;;;;;;;;;000088 Convênio Odontologico                             ;      435,74;001;Taubaté
;;;;;;;;;;;000088 Convênio Odontologico                             ;      109,34;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000078;10;debito bancario          ;    4.033,25;            ;JC MOUTELLA VIEIRA ME                                  ;REF. a NF 55                                                                                                            ;  506.122,80;000002 Alimentação Pacientes                             ;    4.033,25;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000079;10;debito bancario          ;       62,94;            ;SERVIÇO DE APRENDIZAGEM COMERCIAL                      ;REF. a NF 19773                                                                                                         ;  506.059,86;000008 Cursos e Especializações                          ;       62,94;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000080;10;debito bancario          ;      379,42;            ;OSYSTEM MANUT. ELEV. LTDA                              ;REF. a NF 711                                                                                                           ;  505.680,44;000018 Manutenção Preventiva                             ;        2,28;002;São José
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        9,49;002;São José
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        5,58;002;São José
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        0,22;002;São José
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        2,16;002;São José
;;;;;;;;;;;000018 Manutenção Preventiva                             ;      219,68;002;São José
;;;;;;;;;;;000018 Manutenção Preventiva                             ;       14,04;002;São José
;;;;;;;;;;;000018 Manutenção Preventiva                             ;      125,97;002;São José
32035-8                       ;   12.611,29;20/03/2013;000081;10;debito bancario          ;      703,20;            ;T.F. FERRERA MEDIC ESPECIALIZADO                       ;REF. a NF 101                                                                                                           ;  504.977,24;000047 Estoque Hemo                                      ;      703,20;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000082;10;debito bancario          ;      121,66;            ;OSYSTEM MANUT. ELEV. LTDA                              ;REF. a NF 75                                                                                                            ;  504.855,58;000021 Manutenção Equip. (Corretiva)                     ;        0,73;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        3,04;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        1,79;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        0,08;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        0,69;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;       70,44;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        4,50;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;       40,39;002;São José
32035-8                       ;   12.611,29;20/03/2013;000083;10;debito bancario          ;      146,26;            ;OSYSTEM MANUT. ELEV. LTDA                              ;REF. a NF 52                                                                                                            ;  504.709,32;000018 Manutenção Preventiva                             ;        7,31;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        0,88;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        1,61;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        1,61;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;       14,33;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        8,22;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        0,45;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;        2,16;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;       60,55;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;       29,54;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;       19,60;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000084;10;debito bancario          ;    1.331,76;            ;ONCO PROD DIST.PRODUTO HOSP E ONCOLOGIA LTDA           ;REF. a NF 208202                                                                                                        ;  503.377,56;000051 Estoque Hemo - MEDICAMENTOS                       ;    1.331,76;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000085;10;debito bancario          ;    2.261,13;            ;BIONEXO DO BRASIL LTDA                                 ;REF. a NF 40892                                                                                                         ;  501.116,43;000072 Imob. Software                                    ;    2.261,13;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000086;10;debito bancario          ;   10.237,37;            ;SECRETARIA DA RECEITA FEDERAL DO BRASIL.               ;REF. a NF 0603                                                                                                          ;  490.879,06;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;      448,40;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;      605,03;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;       47,09;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;      327,60;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;       22,52;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;      109,54;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;    7.498,87;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;    1.062,64;001;Taubaté
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;      115,68;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000087;10;debito bancario          ;       26,31;            ;CENTRO DE QUALIDADE ANALITICA                          ;REF. a NF 7664                                                                                                          ;  490.852,75;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       26,31;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000088;10;debito bancario          ;       30,54;            ;FLEURY S/A                                             ;REF. a NF 28273                                                                                                         ;  490.822,21;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       30,54;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000089;10;debito bancario          ;       26,13;            ;CENTRO DE QUALIDADE ANALITICA                          ;REF. a NF 7665                                                                                                          ;  490.796,08;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       26,13;002;São José
32035-8                       ;   12.611,29;20/03/2013;000090;10;debito bancario          ;      159,62;            ;LAB DE ANALISES CLINICAS OSWALDO CRUZ                  ;REF. a NF 3960                                                                                                          ;  490.636,46;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      159,62;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000091;10;debito bancario          ;       70,65;            ;KLAUSEG ZELADORIA PATRIMONIAL                          ;REF. a NF 315                                                                                                           ;  490.565,81;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       70,65;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000092;10;debito bancario          ;      107,37;            ;KLAUSEG ZELADORIA PATRIMONIAL                          ;REF. a NF 314                                                                                                           ;  490.458,44;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      107,37;002;São José
32035-8                       ;   12.611,29;20/03/2013;000093;10;debito bancario          ;       16,35;            ;EBRAM VILELA ADOVGAD ASSOSCIADOS                       ;REF. a NF 2342                                                                                                          ;  490.442,09;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       16,35;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000094;10;debito bancario          ;       27,88;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 4143                                                                                                          ;  490.414,21;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       27,88;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000095;10;debito bancario          ;       12,75;            ;HG ASSESSORIA ZELADORIA E RH LTDA                      ;REF. a NF 2646                                                                                                          ;  490.401,46;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       12,75;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000096;10;debito bancario          ;       13,85;            ;WR SERVIÇOS MÉDICOS LTDA                               ;REF. a NF 45                                                                                                            ;  490.387,61;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       13,85;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000097;10;debito bancario          ;       10,70;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 4142                                                                                                          ;  490.376,91;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       10,70;002;São José
32035-8                       ;   12.611,29;20/03/2013;000098;10;debito bancario          ;       73,10;            ;CENTRO DE DIAGNOSTICO                                  ;REF. a NF 7723                                                                                                          ;  490.303,81;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;       73,10;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000099;10;debito bancario          ;      124,32;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 4220                                                                                                          ;  490.179,49;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      124,32;002;São José
32035-8                       ;   12.611,29;20/03/2013;000100;10;debito bancario          ;      323,79;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 4221                                                                                                          ;  489.855,70;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      323,79;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000101;10;debito bancario          ;   13.666,46;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 1803                                                                                                          ;  476.189,24;000110 ISS s/ Faturamento                                ;    2.828,96;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;      179,03;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;      105,23;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;      288,35;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       16,40;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       75,17;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;    9.915,02;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;      258,30;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000102;10;debito bancario          ;    2.259,29;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 1803                                                                                                          ;  473.929,95;000110 ISS s/ Faturamento                                ;      467,67;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       29,60;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       17,40;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       47,67;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;        2,71;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       12,43;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;    1.639,11;001;Taubaté
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       42,70;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000103;10;debito bancario          ;    2.945,44;            ;PREFEITURA MUNICIPAL SJC                               ;REF. a NF 1803                                                                                                          ;  470.984,51;000110 ISS s/ Faturamento                                ;      473,92;002;São José
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       25,92;002;São José
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       88,66;002;São José
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       55,08;002;São José
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;        2,65;002;São José
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;       21,21;002;São José
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;    2.122,48;002;São José
;;;;;;;;;;;000110 ISS s/ Faturamento                                ;      155,52;002;São José
32035-8                       ;   12.611,29;20/03/2013;000104;10;debito bancario          ;      122,78;            ;VALENS SERV. MÉDICOS                                   ;REF. a NF 55                                                                                                            ;  470.861,73;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      122,78;002;São José
32035-8                       ;   12.611,29;20/03/2013;000105;10;debito bancario          ;      172,85;            ;KR ASSISTENCIA MEDICA SS LTDA                          ;REF. a NF 50                                                                                                            ;  470.688,88;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      172,85;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000106;10;debito bancario          ;      391,92;            ;SECRETARIA DA RECEITA FEDERAL DO BRASIL.               ;REF. a NF 0503                                                                                                          ;  470.296,96;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;      178,95;002;São José
;;;;;;;;;;;000102 IRRF - P.F  - CÓD. 0561 e 3208                    ;      212,97;002;São José
32035-8                       ;   12.611,29;20/03/2013;000107;10;debito bancario          ;        4,20;            ;TIM CELULAR SA                                         ;REF. a NF 1503                                                                                                          ;  470.292,76;000134 Telefonia                                         ;        0,30;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,03;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,05;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;            ;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,02;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,92;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,73;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,81;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        0,92;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;        0,42;002;São José
32035-8                       ;   12.611,29;20/03/2013;000108;10;debito bancario          ;      349,90;            ;EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA          ;REF. a NF 1503                                                                                                          ;  469.942,86;000010 Internet                                          ;        1,29;002;São José
;;;;;;;;;;;000010 Internet                                          ;        4,90;002;São José
;;;;;;;;;;;000010 Internet                                          ;        0,21;002;São José
;;;;;;;;;;;000010 Internet                                          ;        1,89;002;São José
;;;;;;;;;;;000010 Internet                                          ;       26,70;002;São José
;;;;;;;;;;;000010 Internet                                          ;      209,94;002;São José
;;;;;;;;;;;000010 Internet                                          ;      104,97;002;São José
32035-8                       ;   12.611,29;20/03/2013;000109;10;debito bancario          ;      658,79;            ;KLAUSEG ZELADORIA PATRIMONIAL                          ;REF. a NF 315                                                                                                           ;  469.284,07;000101 INSS s/ NFs                                       ;      658,79;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000110;10;debito bancario          ;    1.052,44;            ;KLAUSEG ZELADORIA PATRIMONIAL                          ;REF. a NF 314                                                                                                           ;  468.231,63;000101 INSS s/ NFs                                       ;    1.052,44;002;São José
32035-8                       ;   12.611,29;20/03/2013;000111;10;debito bancario          ;    1.005,33;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 5355                                                                                                          ;  467.226,30;000101 INSS s/ NFs                                       ;    1.005,33;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000112;10;debito bancario          ;      407,40;            ;D M G RIGHI                                            ;REF. a NF 553                                                                                                           ;  466.818,90;000039 Serviço Contratado PJ                             ;      407,40;002;São José
32035-8                       ;   12.611,29;20/03/2013;000113;10;debito bancario          ;      420,00;            ;D M G RIGHI                                            ;REF. a NF 554                                                                                                           ;  466.398,90;000039 Serviço Contratado PJ                             ;      420,00;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000114;10;debito bancario          ;      120,00;            ;LABORATORIO DE ANALISES CLINICAS LABCLIN LTDA          ;REF. a NF 85                                                                                                            ;  466.278,90;000039 Serviço Contratado PJ                             ;      120,00;001;Taubaté
32035-8                       ;   12.611,29;20/03/2013;000115;10;debito bancario          ;    9.773,75;            ;LAB DE ANALISES CLINICAS OSWALDO CRUZ                  ;REF. a NF 3960                                                                                                          ;  456.505,15;000034 Serviço de Laboratório                            ;      236,52;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;    5.245,57;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;    1.359,54;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;    2.247,96;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;      100,67;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;      583,49;002;São José
